REGION;DEPARTEMENT;NOM DU MUSEE;REF MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;DATE APPELLATION;Date retrait appellation par Haut Conseil;coordonnees_finales;coordonnees_ban;coordonnees_cp
CENTRE-VAL DE LOIRE;INDRE ET LOIRE;Ecomusée du Véron;3724201;80, Route de Candes;37420;SAVIGNY-EN-VERON;0247580905;0247580615;www.ecomusee-veron.fr;1er mai, 1er novembre, du 23 décembre au 8 janvier. De la fin des vacances de la Toussaint jusqu'au début des vacances de Pâques pour les individuels;Ouvert du 15 avril au 31 mai et du 1er octobre au 5 novembre de 10h à 12h30 et de 14h à 18h en semaine et de 14h à 18h les week-ends et jours fériés. Du 1er juin au 30 septembre de 10h à 12h30 et de 14h à 18h, ouverture jusquà 19h les week-ends et jours f;;18/07/2002;;47.209697, 0.124427;47.209697, 0.124427;47.2193932083, 0.209651167751
CENTRE-VAL DE LOIRE;LOIR ET CHER;Château Musées de Blois;4101801;Château de Blois;41000;BLOIS;0254903333;0254903330;www.chateaudeblois.fr;1er janvier et 25 décembre;Ouvert tous les jours de janvier à mars de 9h à 12h30 et de 13h30 à 17h30. Du 1er avril au 30 juin et en septembre de 9h à 18h30, du 1er juillet à août de 9h à 19h, et octobre de 9h à 18h.;;01/02/2003;;47.586086, 1.332121;47.586086, 1.332121;47.612940364, 1.32071876619
CORSE;CORSE DU SUD;Musée de la Maison Bonaparte;2A00402;Rue Saint-Charles;20000;AJACCIO;0495214389;0495216132;www.musee-maisonbonaparte.fr - www.musees-nationaux-napoleoniens.org;25 janvier 1er janvier;Ouvert du 1er octobre au 31 mars de 10h30 à 12h30 et de 13h15 à 16h30, du 1er avril au 30 septembre de 10h30 à 12h30 et de 13h15 à 18h;;06/01/2002;;41.917772, 8.738068;41.917772, 8.738068;41.9348656233, 8.70148853139
CENTRE-VAL DE LOIRE;LOIRET;Musée d'Art et d'Archéologie;4508501;2, Faubourg Puyrault;45230;CHATILLON-COLIGNY;0238926406;0238960944;http://www.ifrance.com/chatillon-coligny;;Ouvert de 14h à 18h  du 1er avril au 30 juin le vendredi, samedi, dimanche, du 1er juillet au 31 août le jeudi, vendredi, samedi, dimanche, lundi et du 1er septembre au 15 novembre le vendredi, samedi, dimanche;;01/02/2003;;47.820625, 2.844906;47.820625, 2.844906;47.8080760606, 2.86273192034
CENTRE-VAL DE LOIRE;LOIRET;Musée Municipal Théâtre Forain et Archéologique;4500802;Quartier du Paradis;45410;ARTENAY;0238800973;0238804803;www.musee-theatre-forain.fr;;Ouvert du 1er juillet au 31 août de 10h à 12h et de 14h à 18h - et du 1er juin au 30 septembre de 14h à 17h.;;01/02/2003;;48.08201, 1.879598;48.08201, 1.879598;48.0813211933, 1.88378056007
CENTRE-VAL DE LOIRE;INDRE ET LOIRE;Musée du Compagnonnage;3726105;"Cloître Saint-Julien
8, Rue Nationale";37000;TOURS;0247216220;0247216890;www.museecompagnonnage.fr;1er janvier, 1er mai, 14 juillet, 1er et 11 novembre, 25 décembre;Ouvert du 2 janvier au 15 juin du mercredi au lundi de 9h à 12h30 et de 14h à 18h, du 16 juin au 15 septembre tous les jours de 9h à 12h30 et de 14h à 18h et du 16 septembre au 31 décembre du mercredi au lundi de 9h à 12h30 et de 14h à 18h;;01/02/2003;;47.3979724257, 0.696297496341;;47.3979724257, 0.696297496341
CENTRE-VAL DE LOIRE;LOIRET;Hôtel Cabu, Musée d'Histoire et d'Archéologie;4523402;"Square Abbé Desnoyers
Hôtel Cabu";45000;ORLEANS;0238792560;0238792008;Site de la ville;1er et 11 novembre, 25 décembre;"Salles gallo-romaine et Jeanne d'Arc : Du mardi au vendredi : 9h30-12h (groupes sur réservation) et 13h30 - 17h45
Toutes les salles :
Samedi : 9h30 - 12h et 13h30 - 17h45
Dimanche : 14h - 18h";;01/02/2003;;47.8826248233, 1.91635582903;;47.8826248233, 1.91635582903
CORSE;HAUTE-CORSE;Musée de Bastia;2B03301;"Place du donjon
La Citadelle";20200;BASTIA Cedex;0495310912;0428270099;www.musee-bastia.com;1er et 11 novembre, 1er et 8 mai, et pendant les vacances scolaires de Noël;Ouvert du 1er mai au 30 septembre de 10h à 18h30, tous les jours en juillet août, du 1er octobre au 30 avril de 9h à 12h et de 14h à17h (basse saison);;01/02/2003;;42.7169845542, 9.42659304409;;42.7169845542, 9.42659304409
CENTRE-VAL DE LOIRE;INDRE ET LOIRE;Musée des Vins de Touraine;3726104;"Cellier Saint-Julien
16, Rue Nationale";37000;TOURS;0247610793;0247216890;site de la ville;;;;01/02/2003;;47.3979724257, 0.696297496341;;47.3979724257, 0.696297496341
CENTRE-VAL DE LOIRE;LOIRET;Château-Musée de Gien : chasse, histoire et nature en Val de Loire;4515501;"Château de Gien
B.P. 99";45503;GIEN Cedex;0238676969;0238380732;www.château-gien.com;25 décembre et en janvier;Ouvert du 1er février au 31 mars et du 1er octobre au 31 décembre de 14h à 17h et du 1er avril au 30 juin et du 1er au 30 septembre de 13h30 à 18h, en juillet/août tous les jours de 13h30 à 18h;;01/02/2003;;;;
BOURGOGNE-FRANCHE-COMTE;JURA;Musée des Salines;3950001;Place des Salines;39110;SALINS-LES-BAINS;0384731092;0384379285;www.salinesdessalins.com ou www.musees-des-techniques.org;1er janvier, 1ère semaine de janvier, 25 décembre;Ouvert de janvier à mars et de novembre à décembre tous les jours de 10h à 12h et de 14h à 17h, visites guidées à 10h30, 14h15 et 15h30. D'avril à mai et en octobre tous les jours de 9h à 12h et de 14h à 18h, visites guidées à 9h30, 10h30, 14h15, 15h30 et;;01/02/2003;;46.937242, 5.876684;46.937242, 5.876684;46.9201409369, 5.90413463996
BOURGOGNE-FRANCHE-COMTE;DOUBS;Musée-Maison Natale Gustave Courbet;2543401;1, Place Robert Fernier;25290;ORNANS;0381622330;0381258845;http://www.musee-courbet.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert d'avril à juin du mercredi au lundi de 10h à 12h et de 14h à 18h, d'octobre à mars de 9h à 12h et de 14h à 17h, et du 1er juillet au 30 septembre de  10h à 18h;;01/02/2003;;47.104874, 6.147697;47.104874, 6.147697;47.1021279633, 6.08388420751
BOURGOGNE-FRANCHE-COMTE;JURA;Musée Municipal d'Archéologie;3909701;26, rue Baronne Delort;39300;CHAMPAGNOLE;0384530129;0384524932;www.tourisme.champagnole.com;Jours fériés;Ouvert du mercredi au lundi en juillet et août de 14h à 18h + journées du patrimoine. Ouvert toute l'année pour les groupes sur réservation;;01/02/2003;;46.74651, 5.907547;46.74651, 5.907547;46.7556867768, 5.90281733737
AUVERGNE-RHÔNE-ALPES;RHÔNE;Musée Paul Dini;6926401;2, Place Faubert;69400;VILLEFRANCHE-SUR-SAONE;0474683370;0474623513;www.musee-paul-dini.com;Jours fériés, 23, 24, 31 décembre, 1er janvier;Ouvert le mercredi de 13h30 à 18h, jeudi et vendredi de 10h à 12h30 et de 13h30 à 18h, samedi et dimanche de 14h30 à 18h;;01/02/2003;;45.990936, 4.721527;45.990936, 4.721527;45.9927200348, 4.70137722216
AUVERGNE-RHÔNE-ALPES;SAVOIE;Musée de l'Académie de La Val d'Isère;7318101;23, Place Saint-Pierre;73600;MOÛTIERS;0479243180;0479245605;Site de l'Académie - http://academie.sup.fr;Fêtes;Ouvert du lundi au samedi de 9h à 12h et de 14h à 18h;;01/02/2003;;45.483424, 6.532778;45.483424, 6.532778;45.3739609607, 6.53145730027
BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;Musée Magnin;2123103;4, rue des Bons Enfants;21000;DIJON;0380671110;0380664375;www.musee-magnin.fr;1er janvier et 25 décembre;Ouvert du mardi au dimanche de 10h à 1230 et de 13h30 à 18h;;06/01/2002;;47.320958, 5.042189;47.320958, 5.042189;47.3229417955, 5.03751223305
BOURGOGNE-FRANCHE-COMTE;JURA;Musée de la Vigne et du Vin;3901302;"Château Pécauld
B.P. 41";39600;ARBOIS;0384664045;0384664046;http://www.juramusees.com/musee-vigne-vin/musee-vigne-vin.htm;Janvier hors vacances scolaires, 1er mai, 25 décembre;Ouvert de novembre à février de 14h à 18h du mercredi au lundi, de mars à octobre de 10h à 12h et de 14h à 18h du mercredi au lundi, en juillet-aôut tous les jours de 10h à 12h30 et de 14h à 18h. Visites guidées toute l'année pour les groupes.;;01/02/2003;;46.9334374908, 5.75807141934;;46.9334374908, 5.75807141934
BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;Musée de la Vie Bourguignonne, Perrin de Puycousin;2123106;"Monastère des Bernardines
15-17, rue Sainte-Anne";21000;DIJON;0380488090;0380488099;www.musees-bourgogne.org;1er janvier, 1er et 8 mai, 14 juillet, 1er et 8 novembre, 25 décembre;Ouvert du 1er avril auu 31 octobre du mercredi au dimanche de 9h30 à 12h30 et de 14h à 18h, du 1er novembre au 31 mars les mercredis, samedis et dimanches de 9h30 à 12h30 et de 14h à 18h;;01/02/2003;;47.3229417955, 5.03751223305;;47.3229417955, 5.03751223305
BOURGOGNE-FRANCHE-COMTE;DOUBS;Musée Comtois;2505604;"LA CITADELLE
Rue des Fusillés";25000;BESANCON;0381878316;0381878306;www.citadelle.com;1er janvier, 25 décembre;Ouvert de novembre à mars de 10h à 16h45 et d'avril à octobre de 9h à 17h45 (18 h 45 en juillet et août);;01/02/2003;;47.2552328934, 6.01938051129;;47.2552328934, 6.01938051129
BOURGOGNE-FRANCHE-COMTE;DOUBS;Musée Beurnier-Rossel;2538801;"8, Place Saint-Martin
B.P. 95287";25200;MONTBELIARD;0381992261;0381992212;www.montbeliard.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h;;01/02/2003;;47.5248285421, 6.80015635102;;47.5248285421, 6.80015635102
AUVERGNE-RHÔNE-ALPES;LOIRE;Musée des Beaux-Arts et d'Archéologie J. Dechelette;4218701;22, Rue Anatole France;42300;ROANNE;0477236877;0477236878;www.roanne.fr/115-musee-joseph-dechelette-informations-pratiques.htm;1er janvier, 1er mai, Lundi de Pâques et Pentecôte, 1er et 11 novembre, 25 décembre;Ouvert lundi, mercredi au vendredi de 10h à 12h et de 14h à 18h, samedi de 10h à 18h, dimanche de 14h à 18h;;01/02/2003;;46.034953, 4.069842;46.034953, 4.069842;46.0587698503, 4.05970322199
AUVERGNE-RHÔNE-ALPES;LOIRE;Musée de la Mine / Site Couriot;4221804;3, Boulevard Franchet d'Esperey;42000;SAINT-ETIENNE;0477438323;0477438329;www.musee-mine.saint-etienne.fr OU site de la ville : www.saint-etienne.fr;1er janvier, 1er mai, 14 juillet, 15 août, 1er novembre, 25 décembre;Ouvert du mercredi au lundi de 9h à 12h15 et de 14h à 19h;;01/02/2003;;45.438944, 4.376487;45.438944, 4.376487;45.4301225907, 4.37830062526
AUVERGNE-RHÔNE-ALPES;LOIRE;Musée Alice Taverne;4200301;Rue de la Grye;42820;AMBIERLE;0477656099;0477656099;www.museealicetaverne.fr;Janvier et décembre;Ouvert tous les jours de février à novembre de 10h à 12h et de 14h à 18h. Sur réservation pour les groupes de décembre à janvier;;01/02/2003;;46.105295, 3.896343;46.105295, 3.896343;46.1062687547, 3.89170763654
AUVERGNE-RHÔNE-ALPES;LOIRE;Musée d'Archéologie;4209401;3, Rue Victor de Laprade;42110;FEURS;0477262448;0477262448;www.feurs.org/culture/musee-d-archeologie.html;Jours fériés;Ouvert du mardi au vendredi de 14h à 18h et un dimanche par mois de 14h à 18h;;01/02/2003;;45.744191, 4.219803;45.744191, 4.219803;45.7464290309, 4.22053432957
AUVERGNE-RHÔNE-ALPES;ISERE;Musée de la Grande Chartreuse;3844203;La Correrie;38380;SAINT-PIERRE-DE-CHARTREUSE;0476886045;0438869050;www.musee-grande-chartreuse.fr;;Ouvert de mai à septembre de 10h à 18h30, en avril, octobre et novembre de 13h30 à 18h;;01/02/2003;;45.350369, 5.791339;45.350369, 5.791339;45.375484002, 5.78036097359
AUVERGNE-RHÔNE-ALPES;HAUTE-SAVOIE;Musée des Vallées de Thônes;7428001;2, Rue Blanche;74230;THONES;0450029776;0450029776;;;Ouvert le lundi de 14h30 à 17h30, le mardi de 9h à 12h, le mercredi 9h à 12h et de 13h30 à 17h30, jeudi et vendredi de 9h à 12h et de 14h30 à 17h30, le samedi de 9h30 à 12h et de 14h30 à 17h30,;;01/02/2003;;45.881618, 6.324161;45.881618, 6.324161;45.8718862446, 6.33303806029
AUVERGNE-RHÔNE-ALPES;ISERE;Musée Départemental de la Révolution Française;3856201;"Domaine départemental de la Vizille
B.P. 1753";38220;VIZILLE;0476680735;0476680853;www.musee-revolution-francaise.fr;1er mai, autres jours fériés, et entre le 24 décembre et le 1er janvier inclus;Ouvert d'avril à octobre de 10h à 12h30 et de 13h30 à 18h, de novembre à mars de 10h à 12h30 et de 13h30 à 17h;;01/02/2003;;45.0661676194, 5.84675560183;;45.0661676194, 5.84675560183
AUVERGNE-RHÔNE-ALPES;LOIRE;Musée de la Maille;4218401;RUE DE SAINT-ANDRE;42300;RIORGES;;;L'Ecomusée du Roannais a récupéré les collections du musée;;;;01/02/2003;2015-11-16 00:00:00;46.036121, 4.062607;46.036121, 4.062607;46.0587698503, 4.05970322199
AUVERGNE-RHÔNE-ALPES;LOIRE;Musée Historial;4210601;"Mairie
Le Bourg";42260;GREZOLLES;0477625700;0477625458;;;;;01/02/2003;2017-11-17 00:00:00;45.8652813058, 3.98967950475;;45.8652813058, 3.98967950475
AUVERGNE-RHÔNE-ALPES;ISERE;Musée Dauphinois;3818502;30, Rue Maurice Gignoux;38031;GRENOBLE Cedex 1;0457588901;0476876022;www.musee-dauphinois.fr;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au lundi du 1er octobre au 31 mai de 10h à 18h et du 1er juin au 30 septembre de 10h à 19h;;01/02/2003;;;;
GRAND EST;HAUT-RHIN;Musée des Beaux-Arts;6822401;4, Place Guillaume-Tell;68100;MULHOUSE;0389337811;0389337808;http://www.musees.mulhouse.museum/dn_beaux_arts/;1er janvier, vendredi saint, lundi de Pâques et de Pentecôte, 1er mai, 14 juillet, 1er et 11 novembre, 25 et 26 décembre;Ouvert du mercredi au lundi de 13h à 18h30 - 19h en décembre et du 1er juillet au 31 août de 10h à 12 h et de 13h à 18h30;;01/02/2003;;47.745774, 7.338271;47.745774, 7.338271;47.7494423807, 7.32540160105
GRAND EST;MARNE;Musée Municipal;5110801;Place Alexandre Godart;51000;CHALONS-EN-CHAMPAGNE;0326693853;0326693842;www.chalonsenchampagne.fr/culture/musees;1er janvier, 1er mai, 1er & 11 novembre, 25 décembre;Ouvert du lundi au vendredi de 14h à 18h, samedi de 10h à 12h et de 14h à 18h, dimanche de 10h à 12h et de 14h30 à 18h30;;01/02/2003;;48.956828, 4.36382;48.956828, 4.36382;48.9640626928, 4.37886072639
GRAND EST;MEUSE;Musée d'Art Sacré de la Meuse;5546301;1, Rue du Palais de Justice;55300;SAINT-MIHIEL;0329890647;0329890647;http://otsisaintmihiel.e-monsite.com;;Ouvert du 1er janvier au 31 mars et du 1er novembre au 31 décembre du lundi au vendredi de 9h à 12h30 et de 13h30 à 17h30, le samedi de 11h à 16h, du 1er avril au 14 juin du lundi au samedi de 9h à 12h30 et de 13h30 à 18h, le dimanche de 13h30 à 18h, du 1;;01/02/2003;;48.88855, 5.541165;48.88855, 5.541165;48.9104190257, 5.5708079511
GRAND EST;HAUT-RHIN;Musée d'Histoire Naturelle et d'Ethnographie de Colmar;6806602;11, Rue Turenne;68000;COLMAR;0389238415;0389412962;www.museumcolmar.org;Janvier, 1er mai, 1er novembre et 25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 17h, le dimanche de 14h à 18h;;01/02/2003;;48.073594, 7.35872;48.073594, 7.35872;48.1102094696, 7.38500410192
GRAND EST;MEURTHE ET MOSELLE;Musée de Zoologie - Aquarium Tropical;5439502;34, Rue Sainte-Catherine;54000;NANCY;0383329997;0383323016;www.man.uhp-nancy.fr;1er janvier, 1er mai et  25 décembre,;Ouvert tous les jours de 10h à 12h et de 14h à 18h;;01/02/2003;;48.695072, 6.188467;48.695072, 6.188467;48.6902043213, 6.1760319489
GRAND EST;MARNE;Musée Hôtel le Vergeur;5145405;36, Place du Forum;51100;REIMS;0326472075;0326477953;www.museelevergeur.com;1er janvier, 1er mai, 14 juillet, 1er novembre, 25 décembre;Ouvert du mardi au dimanche de 14h à 18h;;01/02/2003;;49.257013, 4.034043;49.257013, 4.034043;49.2518578026, 4.03958522088
GRAND EST;MEURTHE ET MOSELLE;Musée de l'Histoire du Fer;5427401;"1, Avenue du Général de Gaulle
B.P. 15";54140;JARVILLE-LA-MALGRANGE;0383152770;0383531607;www.grand-nancy.org;1er janvier, dimanche de Pâques, 1er novembre, 25 décembre;Ouvert lundi, mercredi au vendredi de 14h à 18h, samedi, dimanche et jours fériés de 10h à 12h et de 14h à 18h;;01/02/2003;;48.6669142212, 6.20534540639;;48.6669142212, 6.20534540639
GRAND EST;MEURTHE ET MOSELLE;Palais des ducs de Lorraine - Musée Historique Lorrain;5439504;"Palais Ducal
64, Grande Rue";54000;NANCY;0383321874;0383379915;http://www.nancy.fr/transver/coord.htm#muslor - Site du Grand Nancy;1er janvier, 1er mai, 14 juillet, 1er novembre et 25 décembre;Ouvert du mardi au dimanche de 10h à 12h30 et de 14h à 18h;;01/02/2003;;48.6902043213, 6.1760319489;;48.6902043213, 6.1760319489
GRAND EST;HAUT-RHIN;Musée du Vignoble et des Vins d'Alsace;6816401;"Château de la Confrérie St-Etienne
Kientzheim";68240;KAYSERSBERG VIGNOBLE;0389782136;0389473474;www.musee-du-vignoble-alsace.fr;Novembre à avril;Ouvert du 1er juin au 31 octobre de 10h à 12h et de 14h à 18h, en mai les week-end et jours de fériés;;01/02/2003;;48.1678355817, 7.21603176483;;48.1678355817, 7.21603176483
GRAND EST;HAUT-RHIN;Musée de l'Impression sur Etoffes;6822402;"14, rue Jean-Jacques Henner
B.P. 1468";68072;MULHOUSE CEDEX;0389468300;0389468310;www.musee-impression.com;1er janvier, 1er mai, 25 décembre;Ouvert du mardi au dimanche de 10h à 12h et de 14h à 18h. Ouverture exceptionnelle le 26 décembre de 15h à 18h ainsi que tous les lundi du mois de décembre de 14h à 18h;;01/02/2003;;;;
GRAND EST;HAUTE-MARNE;Musée des Beaux-Arts et d'Archéologie;5212101;Place du Palais;52000;CHAUMONT;0325030199;0325012637;http://www.ville-chaumont.fr;1er janvier, 1er mai, 25 décembre;Ouvert du mercredi au lundi de 14h à 18h de mi-septembre à mi-mai et de 14h30 à 18h30 du 14 mai au 18 septembre;;01/02/2003;;48.112483, 5.137336;48.112483, 5.137336;48.0957359337, 5.13646133401
GRAND EST;AUBE;Musée Napoléon Ier;1006401;34, Rue de l'Ecole Militaire;10500;BRIENNE-LE-CHATEAU;0325928241;0325271125;www.musee-napoleon-brienne.fr;1er mai, vacances de Noël;Ouvert en 2016 du 4 janvier au 22 mai du mardi au dimanche de 10h à 12h30 et de 14h à 17h;;01/02/2003;;48.388915, 4.528446;48.388915, 4.528446;48.4013286019, 4.53410660747
GRAND EST;BAS-RHIN;Maison de l'Archéologie des Vosges du Nord;6732401;44, Avenue Foch;67110;NIEDERBRONN-LES-BAINS;0388803637;0388097152;www.musee-niederbronn.fr;;Ouvert du 1er mars au 31 octobre dimanche et lundi et du mercredi au vendredi de 14h à 18h et du 1er novembre au 28 février de 14h à 17h le dimanche. Ouvert sur rendez-vous pour les groupes et les scolaires;;01/02/2003;;48.947443, 7.650429;48.947443, 7.650429;48.9564241197, 7.64420401079
GRAND EST;AUBE;Pharmacie Musée de l'Hôtel-Dieu;1038707;Quai des Comtes-de-Champagne;10000;TROYES;0325809897;0325801800;www.musees-troyes.com;1er, 1er mai, 1er et 11 novembre et 25 décembre;Ouvert du mardi au dimanche de 10h à 13h et de 14h à 17h;;01/02/2003;;48.299944, 4.076921;48.299944, 4.076921;48.2968524808, 4.07809709011
GRAND EST;AUBE;Musée des Beaux-Arts;1038704;1, Rue Chrestien-de-Troyes;10000;TROYES;0325762160;0325801800;www.musees-troyes.com;1er au 9 janvier, 1er mai, 1er et 11 novembre et 25 décembre;Ouvert du mercredi au lundi de 10h à 13h et de 14h à 17h;;01/02/2003;;48.300638, 4.08003;48.300638, 4.08003;48.2968524808, 4.07809709011
GRAND EST;ARDENNES;Musée de la Maison de la Dernière Cartouche;0805301;12 Avenue de la Dernière Cartouche;08140;BAZEILLES;0324271586;;www.maisondeladernierecartouche.com;15 décembre au 5 janvier;Ouvert du mercredi au dimanche du 1er avril au 30 septembre de 13h30 à 18h et du 1er octobre au 31 mars de 13h30 à 17h;;01/02/2003;;49.681811, 4.975009;49.681811, 4.975009;49.7027985967, 5.05389161183
GRAND EST;HAUT-RHIN;Musée Sundgauvien d'Altkirch;6800401;1, Rue de l'Hôtel de Ville;68130;ALTKIRCH;0389400194;0389400194;;;Ouvert de septembre à juin le dimanche de 14h30 à 17h30, juillet-août du mardi au dimanche de 14h30 à 17h30. Lors des expositions temporaires du mardi au dimanche de 14h30 à 17h30;;01/02/2003;;47.623329, 7.237204;47.623329, 7.237204;47.6168205059, 7.29502292412
GRAND EST;BAS-RHIN;Musée des Beaux-Arts;6748203;"Palais Rohan
2, Place du Château";67000;STRASBOURG;0388525000;0388525009;www.musees.strasbourg.eu;1er janvier, vendredi saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert le lundi et du mercredi au dimanche de 10h à 18h;;01/02/2003;;48.5716222333, 7.76768232804;;48.5716222333, 7.76768232804
GRAND EST;BAS-RHIN;Musée Tomi Ungerer;6748213;"Villa Greiner
2, avenue de la Marseillaise";67000;STRASBOURG;0369063727;0369063728;www.musees-strasbourg.eu;1er janvier, Vendredi Saint, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert le lundi, mercredi au dimanche de 10h à 18h;;23/06/2008;;48.5716222333, 7.76768232804;;48.5716222333, 7.76768232804
GRAND EST;ARDENNES;Musée du Château-Fort;0840901;Cour du château;08208;SEDAN Cedex;0324299880;0324292562;www.chateau-fort-sedan.fr;25 décembre et 1er janvier;Ouvert tous les jours de 10h à 17h et en juillet-août de 10h à 18h;de juin à septembre;01/02/2003;;;;
