ID;Date;Région;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée;Commentaires
TER_1;2013-07;Alsace;14462;14363;99;483;96.6;28.7;
TER_2;2013-07;Aquitaine;8883;8618;265;1527;82.3;4.6;Importantes causes externes climatiques : fortes chaleurs et orages en fin de mois. 6 accidents de personnes ou routiers.
TER_4;2013-07;Basse Normandie;3815;3786;29;259;93.2;13.6;Intempéries la semaine 30 ayant entrainés de nombreux obstacles sur la voie (chutes d'arbres) et des difficultés de circulation (correspondances surtout).
TER_6;2013-07;Bretagne;7363;7299;64;483;93.4;14.1;Impact limitation de vitesse suite à fortes chaleurs et orages (en Bretagne et hors région).
TER_18;2013-07;Poitou Charentes;3582;3507;75;418;88.1;7.4;Déraillement d'un train de FRET à Saintes le 16 juillet avec obstruction totale de la circulation des trains en direction de Bordeaux, Angoulême et Royan entrainant des perturbations sur l'ensemble de la semaine 29. Intempéries le 27 juillet, violents orages sur toute la région Poitou-Charentes.
TER_8;2013-08;Champagne Ardenne;5639;5623;16;288;94.9;18.5;Restrictions de vitesse sur certaines lignes suite aux fortes chaleurs et aux travaux sur la voie.
TER_13;2013-08;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_12;2013-09;Limousin;4004;3788;216;393;89.6;8.6;Défaut de géométrie de la voie.
TER_14;2013-09;Midi Pyrénées;7613;7448;165;605;91.9;11.3;Actes de malveillance, dérangements des IS, intempéries et incident matériel en ligne.
TER_17;2013-09;Picardie;11252;11181;71;713;93.6;14.7;Limitation de vitesse 40 en place suite à travaux entre Esbly et Trilport, plusieurs avaries sur les BB15000 sur l'axe Paris-Est-Château-Thierry.
TER_13;2013-09;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_2;2013-10;Aquitaine;8728;8618;110;960;88.9;8.0;Actes de malveillance (colis suspect à Bordeaux. incident caténaire), intrusion dans le tunnel de La Réole et limitations de vitesse.
TER_3;2013-10;Auvergne;6239;6145;94;715;88.4;7.6;Conditions météos et dérangement d'installations de sécurité.
TER_11;2013-10;Languedoc Roussillon;4974;4676;298;478;89.8;8.8;Intempéries, malveillance et mouvement social.
TER_18;2013-10;Poitou Charentes;3527;3416;111;284;91.7;11.0;Mouvement social des agents de conduite du site de La Rochelle du 27 octobre au 1er novembre et nombreux événements externes.
TER_2;2013-11;Aquitaine;8374;8253;121;1071;87.0;6.7;Fort impact externe (intrusions, obstacles, actes de malveillances et accidents de personnes), défaillances du matériels (pannes et indisponibilités) et dérangements d'IS (procédures lourdes).
TER_7;2013-11;Centre;8995;8772;223;998;88.6;7.8;Travaux, problèmes matériel, patinages-enrayages.
TER_14;2014-01;Midi Pyrénées;8989;8796;193;1022;88.4;7.6;Intempéries, malveillance et divagation d'animaux (199 circulations). Appropriation par les agents de conduite de nouvelle ligne Toulouse-St Sulpice (185 circulations). Dérangements d'installations (174 circulations). Détresse matériel roulant (114 circulations).
TER_7;2014-01;Centre;9332;9283;49;537;94.2;16.3;
TER_11;2014-01;Languedoc Roussillon;4903;4866;37;386;92.1;11.6;Un bon mois de janvier en rupture par rapport aux mauvais résultats du dernier trimestre 2013. Les dérangements d'installation représentent la principale cause des retards.
TER_20;2014-02;Rhône Alpes;25636;25284;352;2638;89.6;8.6;Événements externes, panne matériel et problèmes d'infrastructure.
TER_18;2014-02;Poitou Charentes;3227;3173;54;240;92.4;12.2;Un mois marqué par de nombreux dérangements d'installations et d'événements d'origine externe (arbres sur les voies, heurt d'animaux).
TER_7;2014-02;Centre;8409;8332;77;517;93.8;15.1;
TER_13;2014-02;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_3;2014-03;Auvergne;5544;5489;55;286;94.8;18.2;Conditions météo, dérangements d'installations, événements extérieurs (malveillance, accident de personne)
TER_5;2014-03;Bourgogne;7505;7334;171;528;92.8;12.9;Un bon mois de mars, certes moins exceptionnel que celui en 2013, qui permet de clore un trimestre remarquable d'homogénéité sur la majorité des axes Bourguignons
TER_9;2014-03;Franche Comté;5258;5154;104;306;94.1;15.8;
TER_10;2014-03;Haute Normandie;5910;5863;47;234;96.0;24.1;
TER_14;2014-03;Midi Pyrénées;8135;7938;197;699;91.2;10.4;Dérangements PN et installations (150 Circ.) 1,88 point. Malveillance et intempéries (129 circ.) 1,61 point. Défaillance Engin moteur (114 Circ.) 1,43 point. Agent de conduite (83 Circ.) 1,04 point.
TER_2;2014-04;Aquitaine;8373;8239;134;629;92.4;12.1;De nombreux chocs (avec des animaux et des arbres) sur les voies ont endommagés le matériels roulants le rendant indisponibles pendant de longues périodes.
TER_7;2014-04;Centre;8955;8893;62;506;94.3;16.6;
TER_16;2014-04;Pays de la Loire;10173;10083;90;637;93.7;14.8;
TER_15;2014-05;Nord Pas de Calais;18023;17828;195;1108;93.8;15.1;
TER_1;2014-05;Alsace;18720;18566;154;633;96.6;28.3;
TER_3;2014-05;Auvergne;5047;4956;91;333;93.3;13.9;Tension sur le parc matériel et dérangements d'installations.
TER_6;2014-05;Bretagne;8330;8270;60;350;95.8;22.6;0,75 point d'irrégularité suite à travaux entre Rennes et La Mans.
TER_8;2014-05;Champagne Ardenne;5927;5876;51;295;95.0;18.9;Ralentissements entre Épernay et Chalons suite à des travaux de renouvellement de voie du 5 au 20 mai. Mouvement social national, régional et local le 22 mai.
TER_9;2014-05;Franche Comté;5445;5413;32;563;89.6;8.6;
TER_18;2014-05;Poitou Charentes;3449;3409;40;186;94.5;17.3;
TER_1;2014-06;Alsace;16152;14943;1209;652;95.6;21.9;Mouvement social national.
TER_8;2014-06;Champagne Ardenne;4681;4601;80;339;92.6;12.6;Ralentissements de vitesse entre Epernay et Chalons suite à des travaux de renouvellement de voie. Du 11 au 24, mouvement social SNCF national avec mise en place d'un service de transport adapté.
TER_12;2014-06;Limousin;3446;2853;593;288;89.9;8.9;Mouvement social.
TER_13;2014-06;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_17;2014-07;Picardie;9714;9343;371;807;91.4;10.6;
TER_20;2014-07;Rhône Alpes;26007;25666;341;3059;88.1;7.4;Un redressement s'est amorcé et se confirme en fin de mois de juillet.
TER_3;2014-08;Auvergne;5113;5061;52;259;94.9;18.5;Dérangements d'installations et événements extérieurs (intempéries, malveillance).
TER_4;2014-08;Basse Normandie;3615;3586;29;179;95.0;19.0;Beaucoup de retard pour correspondances sur les axes touristiques Lisieux-Trouville et Trouville-Dives.  Vol de câble ayany entrainé un dérangement de signalisation qui a duré plusieurs jours.
TER_6;2014-08;Bretagne;7406;7372;34;307;95.8;23.0;Un mois d'août traditionnellement bon.
TER_9;2014-08;Franche Comté;5463;5426;37;276;94.9;18.7;
TER_10;2014-08;Haute Normandie;5828;5784;44;259;95.5;21.3;
TER_20;2014-08;Rhône Alpes;24375;24029;346;1811;92.5;12.3;Un bon mois marqué touefois par la fermeture partielle de la ligne Lyon / Bourg en Bresse liée aux intempéries début août.
TER_1;2014-09;Alsace;19660;19543;117;500;97.4;38.1;
TER_2;2014-09;Aquitaine;8817;8671;146;1038;88.0;7.4;Des travaux de modernisation en gare de Bordeaux et ses alentours ont réduit la capacité de celle-ci, occasionnant de nombreux retards. Cela est complété par la mise en place de nouveaux matériels roulants.
TER_3;2014-09;Auvergne;5168;5061;107;337;93.3;14.0;Problèmes matériel, dérangements d'installations et événements extérieurs.
TER_7;2014-09;Centre;8935;8855;80;510;94.2;16.4;
TER_10;2014-09;Haute Normandie;5933;5865;68;256;95.6;21.9;
TER_15;2014-09;Nord Pas de Calais;19414;19078;336;1513;92.1;11.6;
TER_17;2014-09;Picardie;10609;10332;277;963;90.7;9.7;
TER_20;2014-09;Rhône Alpes;28760;28490;270;2870;89.9;8.9;Une réalisation de l'offre à l'objectif mais une régularité touchée par des événements externes.
TER_2;2014-10;Aquitaine;9227;9045;182;1060;88.3;7.5;Des travaux de modernisation en gare de Bordeaux et ses alentours ont réduit la capacité de celle-ci, occasionnant de nombreux retards. Cela est complété par un phénomène d'été indien sur certaine ligne.
TER_7;2014-10;Centre;9201;9085;116;736;91.9;11.3;Perte de temps pour travaux et évenements externes.
TER_9;2014-10;Franche Comté;5900;5841;59;670;88.5;7.7;
TER_2;2014-11;Aquitaine;8323;8171;152;1032;87.4;6.9;Des travaux de modernisation en gare de Bordeaux et son agglomération ont réduit la capacité de celle-ci, occasionnant de nombreux retards.
TER_3;2014-11;Auvergne;5527;5403;124;380;93.0;13.2;Evénements extérieurs, dérangements d'installations et problèmes de ressources.
TER_4;2014-11;Basse Normandie;2964;2942;22;195;93.4;14.1;Malgré plusieurs difficultés en début de mois (accidents routiers, personnes suicidaire, patinages…), c'est le meilleur mois de novembre de ces trois dernières années.
TER_5;2014-11;Bourgogne;7354;7287;67;956;86.9;6.6;Un mois de novembre catastrophique malgré des conditions météorologiques favorables pour la saison. Les causes non directement maitrisables par TER Bourgogne atteignent un niveau record. A l'origine de cette hausse, plusieurs limitations temporaires de vitesse à plusieurs points de la Bourgogne et qui, de Decize-Etang à Villeneuve-Combs en passant par Beaune-Meursault, ont fait des ravages. Le Morvan est également fortement impacté.
TER_8;2014-11;Champagne Ardenne;5580;5546;34;272;95.1;19.4;
TER_18;2014-11;Poitou Charentes;3273;3235;38;274;91.5;10.8;
TER_1;2014-12;Alsace;18677;18536;141;689;96.3;25.9;
TER_13;2014-12;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_17;2014-12;Picardie;10807;10673;134;861;91.9;11.4;
TER_20;2014-12;Rhône Alpes;26575;25583;992;3587;86.0;6.1;Evénements externes , mouvements sociaux locaux, défaillances matériel et prises en charge clientèle.
TER_6;2015-01;Bretagne;8409;8361;48;494;94.1;15.9;
TER_8;2015-01;Champagne Ardenne;6137;6085;52;297;95.1;19.5;
TER_10;2015-01;Haute Normandie;5961;5828;133;324;94.4;17.0;
TER_15;2015-01;Nord Pas de Calais;19522;19180;342;1559;91.9;11.3;
TER_4;2015-02;Basse Normandie;3014;2975;39;116;96.1;24.6;
TER_7;2015-02;Centre;8301;8178;123;655;92.0;11.5;Difficultés en matériel sur la ligne Paris / Nogent
TER_2;2013-01;Aquitaine;8099;8014;85;731;90.9;10.0;Intempéries à partir du 20 janvier.
TER_9;2013-01;Franche Comté;5826;5744;82;553;90.4;9.4;
TER_10;2013-01;Haute Normandie;5957;5878;79;488;91.7;11.0;Episodes neigeux et difficultés matériels.
TER_6;2013-02;Bretagne;7729;7644;85;448;94.1;16.1;Quelques journées perturbées par des épisodes neigeux sur le nord Bretagne (provoquant des dérangement d'installations) et limitations temporaires de vitesse non prévues pour travaux entre Rennes et Redon (du 26 mars au 26 avril 2013).
TER_16;2013-02;Pays de la Loire;9238;9126;112;503;94.5;17.1;
TER_17;2013-02;Picardie;10215;10137;78;879;91.3;10.5;
TER_18;2013-02;Poitou Charentes;3014;2991;23;118;96.1;24.3;
TER_1;2013-03;Alsace;19138;18970;168;658;96.5;27.8;
TER_7;2013-03;Centre;9633;9446;187;634;93.3;13.9;
TER_12;2013-03;Limousin;3989;3855;134;193;95.0;19.0;
TER_18;2013-03;Poitou Charentes;3433;3418;15;198;94.2;16.3;
TER_13;2013-03;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_8;2013-04;Champagne Ardenne;6219;6152;67;232;96.2;25.5;
TER_18;2013-04;Poitou Charentes;3306;3285;21;181;94.5;17.1;
TER_10;2013-05;Haute Normandie;5447;5433;14;215;96.0;24.3;
TER_15;2013-05;Nord Pas de Calais;18181;17997;184;922;94.9;18.5;
TER_9;2013-06;Franche Comté;5398;5334;64;446;91.6;11.0;
TER_11;2013-06;Languedoc Roussillon;5106;4770;336;475;90.0;9.0;Intempéries, malveillance et détresse matériel.
TER_15;2013-06;Nord Pas de Calais;17776;17483;293;1140;93.5;14.3;Grève le 13.
TER_3;2013-07;Auvergne;5564;5451;113;590;89.2;8.2;Conditions météorologiques (fortes chaleurs, orages. vents violents).
TER_8;2013-07;Champagne Ardenne;6059;6000;59;381;93.7;14.7;Episodes de fortes chaleurs et de violents orages ayant perturbé la circulation des trains (dérangements d'installations, limitations de vitesse localisées, chutes d'arbres sur les voies et les caténaires).
TER_14;2013-07;Midi Pyrénées;9627;9088;539;1029;88.7;7.8;Fortes chaleurs.
TER_16;2013-07;Pays de la Loire;10018;9840;178;900;90.9;9.9;Les fortes chaleurs et les nombreux orages sur la région et hors région représentent plus de 2,5 points de la non ponctualité.
TER_2;2013-08;Aquitaine;8740;8651;89;937;89.2;8.2;Orages dans le sud Aquitaine (plateforme ferroviaire endommagée), fortes chaleur au nord de Bordeaux et affluences voyageurs.
TER_3;2013-08;Auvergne;5580;5518;62;448;91.9;11.3;Conditions météos et dérangement d'installations de sécurité.
TER_6;2013-08;Bretagne;7479;7449;30;327;95.6;21.8;
TER_9;2013-08;Franche Comté;4928;4906;22;282;94.3;16.4;
TER_11;2013-08;Languedoc Roussillon;5238;5173;65;484;90.6;9.7;Dérangements d'installations.
TER_12;2013-08;Limousin;3919;3837;82;316;91.8;11.1;Intempéries et défaut de géomérie de la voie.
TER_14;2013-08;Midi Pyrénées;9023;8845;178;673;92.4;12.1;
TER_18;2013-08;Poitou Charentes;3490;3469;21;237;93.2;13.6;Nombreux dérangements d'installation de sécurité ce mois ci.
TER_19;2013-08;Provence Alpes Côte d'Azur;13672;13154;518;2238;83.0;4.9;
TER_2;2013-09;Aquitaine;8154;8086;68;869;89.3;8.3;Impact fort des limitations de vitesse pour travaux et réduction de capacité pour le pont Adour. Deux accidents (accident de personne et accident routier) ont également été des vecteurs importants d'irrégularité en fin de mois.
TER_4;2013-09;Basse Normandie;3239;3144;95;167;94.7;17.8;Mouvement social le 10.
TER_8;2013-09;Champagne Ardenne;6391;6207;184;362;94.2;16.1;"Mouvement social national interprofessionnel le 10/09 ; mouvement social local les 28 et 29/09"
TER_1;2013-10;Alsace;20430;20274;156;1032;94.9;18.6;Travaux Vendenheim 2ème phase TGV Est et patinage.
TER_19;2013-10;Provence Alpes Côte d'Azur;11011;10306;705;2382;76.9;3.3;Mouvement social interprofessionnel.
TER_1;2013-11;Alsace;18580;18468;112;811;95.6;21.8;Travaux Vendenheim 2ème phase TGV Est et patinage.
TER_12;2013-11;Limousin;3863;3363;500;511;84.8;5.6;Mouvement social, adhérence dégradée
TER_18;2013-11;Poitou Charentes;3164;3133;31;302;90.4;9.4;Nombreux dérangements d'installation de sécurité, ainsi que de nombreux événements d'origine externe comme les phénomènes saisonniers de patinage et enrayage, de nombreux accidents de personnes sur la région Poitou-Charentes, ainsi que des collisions sur des passages à niveau ou des obstacles sur les voies.
TER_19;2013-11;Provence Alpes Côte d'Azur;13054;12480;574;2205;82.3;4.7;Prolongation de la fermeture de la ligne Aspres Livron / interuption de trafic entre Meyragues et Aix en Provence suite à un accident routier (un camion heurte la pile d'un pont ferroviaire)
TER_20;2013-11;Rhône Alpes;26800;26182;618;3531;86.5;6.4;Intempéries et problèmes d'infrastructure.
TER_8;2013-12;Champagne Ardenne;6413;6104;309;417;93.2;13.6;Mouvement social national le 12, acte de vandalisme sur la ligne Reims-Chalons (câbles de signalisation brûlés) le 16, accident de personne avec le train 840805 à Reims Maisonblanche le 22, arbres sur les voies suite au passage de la tempête DIRK le 24, mouvement social local à l'ESV CA.
TER_11;2013-12;Languedoc Roussillon;4750;4468;282;485;89.1;8.2;Mouvement social et accidents de personne le 5.
TER_20;2013-12;Rhône Alpes;25268;24811;457;4185;83.1;4.9;Événements externes, panne matériel et problèmes d'infrastructure.
TER_13;2013-12;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_20;2014-01;Rhône Alpes;28044;27625;419;3008;89.1;8.2;Événements externes, panne matériel et problèmes d'infrastructure.
TER_18;2014-01;Poitou Charentes;3655;3620;35;165;95.4;20.9;
TER_6;2014-01;Bretagne;8781;8714;67;416;95.2;19.9;Régularité impactée en janvier par les travaux entre Rennes et Redon (1 point d'irrégularité).
TER_5;2014-01;Bourgogne;8282;8240;42;516;93.7;15.0;Un mois de janvier aux résultats homogènes avec 10 axes au vert et 3 en retrait. Un résultat global qui fait référence sur les sept dernières années.
TER_19;2014-02;Provence Alpes Côte d'Azur;12677;11676;1001;2143;81.6;4.4;Eboulement ligne Nice Breil (voie coupée) et application d'un plan de transport adapté.
TER_17;2014-02;Picardie;10652;10575;77;698;93.4;14.2;Mise en place d'un plan de transport adapté sur l'axe Beauvais-Le Tréport permettant une amélioration de la régularité, même si quelques retards subsistent.
TER_15;2014-02;Nord Pas de Calais;17126;16820;306;1156;93.1;13.6;Mouvements sociaux chaque week-end.
TER_9;2014-02;Franche Comté;5041;4987;54;265;94.7;17.8;
TER_5;2014-02;Bourgogne;7129;6980;149;455;93.5;14.3;Un mois de février excellent en terme de régularité. Un mouvement social régional vient cependant contrarier la réalisation de l'offre (hors grève : 99,3% de taux de réalisation).
TER_1;2014-02;Alsace;17814;17957;129;799;95.6;21.5;Ralentissements Vendenheim suite travaux TGV.
TER_2;2014-03;Aquitaine;8679;8505;174;772;90.9;10.0;Intempéries en début de mois : éboulement de talus entre Bayonne et St Jean Pied de Port depuis le 26. Travaux: gestion difficile du site de Bordeaux.
TER_4;2014-03;Basse Normandie;3233;3184;49;136;95.7;22.4;Beaucoup de suppressions dues à des absences de personnel (conduite et accompagnement des trains) et au mouvement social Pays de Loire. Ainsi qu'un accident de personne en gare de Mézidon le 24.
TER_7;2014-03;Centre;8884;8793;91;578;93.4;14.2;
TER_8;2014-03;Champagne Ardenne;6186;5977;209;289;95.2;19.7;"Mouvement social à l’établissement de Services Voyageurs de Champagne-Ardenne du SA 01 à 02h00 au MA 04 à 08h00 ; ligne Charleville – Givet : à partir du 11. Mise en place de limitations de vitesse pour une durée indéterminée suite à un risque de chute."
TER_12;2014-03;Limousin;4088;4062;26;225;94.5;17.1;
TER_20;2014-03;Rhône Alpes;28473;27697;776;2484;91.0;10.2;Mois correct malgré des événements externes importants
TER_1;2014-04;Alsace;18322;18188;134;485;97.3;36.5;
TER_6;2014-04;Bretagne;8114;8061;53;346;95.7;22.3;Régularité impacté en avril par les travaux entre Rennes et Redon (2 points d'irrégularité).
TER_11;2014-04;Languedoc Roussillon;4518;4488;30;327;92.7;12.7;Le meilleur mois depuis ce début d'année à plus de deux points au-dessus de l'objectif.
TER_14;2014-04;Midi Pyrénées;8618;8485;133;682;92.0;11.4;Malveillance et intempéries (143 circ.) 1,68 point Dérangements PN et installations (133 Circ.) 1,56 point. Défaillance Engin moteur (117 Circ.) 1,37 point. Agent de conduite (104 Circ.) 1,22 point
TER_19;2014-04;Provence Alpes Côte d'Azur;13459;12957;502;2413;81.4;4.4;La circulation des trains est rétablie entre Grenoble et Gap (éboulement à Clelles Mens) le 21/04/2014.
TER_20;2014-04;Rhône Alpes;27596;27022;574;2587;90.4;9.4;Les événements externes viennent impacter la régularité régionale
TER_13;2014-04;Lorraine;;;;;;;Le Président de la Région Lorraine s'est opposé, par courrier du 10 juillet 2013, à ce que SNCF transmette à l'AQST les données relatives aux trains TER lorrains en retard ou annulés, au motif qu'il n'a pas ''de visibilité sur les capacités des régions à poursuivre leurs missions d'autorité organisatrice des transports régionaux''.
TER_5;2014-05;Bourgogne;7569;7480;89;565;92.4;12.2;Des résultats supérieurs à l’exercice 2013, mais handicapés par une deuxième quinzaine irrégulière, avec notamment sept journées sous les 91%.
TER_7;2014-05;Centre;8927;8847;80;580;93.4;14.3;
TER_10;2014-05;Haute Normandie;5590;5546;44;212;96.2;25.2;
TER_20;2014-05;Rhône Alpes;27238;26528;710;2621;90.1;9.1;Régularité à l'objectif. Elle est impactée par les incidents Infrastructure et externes.
TER_3;2014-06;Auvergne;3728;3614;114;319;91.2;10.3;Evénements extérieurs (malveillance), dérangements d'installations. Mouvement social.
TER_2;2014-07;Aquitaine;8514;8203;311;1286;84.3;5.4;L'accident à Denguin le 17 juillet et les restrictions de circulation pour l’enquête et les vérifications des installations ont fortement perturbé la ponctualité des TER dans la région de Pau mais aussi sur le reste de la région Aquitaine.
TER_5;2014-07;Bourgogne;7175;7108;67;576;91.9;11.3;Bon mois de juillet avec peu d'annulation de train et une régularité marquée par des incidents infrastructure et matériel.
TER_15;2014-07;Nord Pas de Calais;18125;17849;276;1461;91.8;11.2;
TER_5;2014-08;Bourgogne;6738;6671;67;467;93.0;13.3;Un mois d'août plutôt homogène en termes de ponctualité et d'annulation de trains sur les axes Bourguignon. Résultats satisfaisants.
TER_7;2014-08;Centre;8987;8915;72;520;94.2;16.1;
TER_17;2014-08;Picardie;8841;8621;220;600;93.0;13.4;
TER_6;2014-09;Bretagne;7982;7929;53;345;95.6;22.0;Un mois de septembre dans la moyenne des quatre dernières années (95,51 %)
TER_8;2014-09;Champagne Ardenne;6111;6031;80;296;95.1;19.4;
TER_18;2014-09;Poitou Charentes;3545;3503;42;245;93.0;13.3;
TER_19;2014-09;Provence Alpes Côte d'Azur;14036;13441;595;2581;80.8;4.2;L’indisponibilité d’une partie du parc (TER 2 N NG) perturbe fortement la production PACA. En effet, un certain nombre de rames doit être acheminées dans un délai très court sur leur centre de maintenance pour vérifier et/ou intervenir sur les organes de roulement.
TER_5;2014-10;Bourgogne;8180;8095;85;939;88.4;7.6;Malgré des conditions météorologiques favorables, l’impact des travaux (sur Bourgogne Sud, mais également apparition de LTV contraignantes sur Bourgogne Nord), conjugué à un taux de dérangements d’installations élevé et à une forte inflation des conflits avec les autres transporteurs, ont grandement contribué à ce résultat.
TER_6;2014-10;Bretagne;8151;8088;63;545;93.3;13.8;Un mois d'octobre fortement perturbé par les travaux sur la ligne Rennes-Messac.
TER_17;2014-10;Picardie;11027;10843;184;1213;88.8;7.9;Mouvement social local sur Paris-Beauvais. Toujours de nombreuses limitations temporaires de vitesse.
TER_18;2014-10;Poitou Charentes;3569;3536;33;237;93.3;13.9;
TER_19;2014-10;Provence Alpes Côte d'Azur;14114;13169;945;2198;83.3;5.0;L’Indisponibilité d’une partie du parc, les TER 2 N NG, perturbe fortement la production PACA. En effet, un certain nombre de rames doit être acheminées dans un délai très court sur leur centre de maintenance pour vérifier et/ou intervenir sur les organes de roulement.
TER_1;2014-11;Alsace;18308;18163;145;625;96.6;28.1;
TER_10;2014-11;Haute Normandie;5363;5324;39;346;93.5;14.4;
TER_11;2014-11;Languedoc Roussillon;4115;3976;139;617;84.5;5.4;
TER_15;2014-11;Nord Pas de Calais;17889;17467;422;1967;88.7;7.9;
TER_3;2014-12;Auvergne;5796;5666;130;374;93.4;14.1;
TER_11;2014-12;Languedoc Roussillon;4246;4044;202;597;85.2;5.8;
TER_1;2015-01;Alsace;19378;19172;206;653;96.6;28.4;
TER_5;2015-01;Bourgogne;8051;7964;87;566;92.9;13.1;Production très homogène, presque tous les axes sont à l’objectif. Le domaine matériel, avec 29 suppressions dont 17 provoquées par un déficit de parc, est en responsabilité de 45% des suppressions enregistrées hors grève. Les  Intercités conventionnés Paris-Nevers ont été victimes de défaillances de production Intercités sur le secteur de Paris
TER_9;2015-01;Franche Comté;5627;5550;77;396;92.9;13.0;
TER_12;2015-01;Limousin;4234;4186;48;313;92.5;12.4;
TER_18;2015-01;Poitou Charentes;3550;3495;55;328;90.6;9.7;
TER_7;2013-01;Centre;9882;9687;195;812;91.6;10.9;Trois incidents caténaires lourds, dont deux pour cause externe.
TER_12;2013-01;Limousin;3817;3770;47;210;94.4;17.0;
TER_16;2013-01;Pays de la Loire;10407;10195;212;713;93.0;13.3;
TER_20;2013-01;Rhône Alpes;31438;30779;659;3552;88.5;7.7;
